Date,Amount,Category,Account Name,Simple Description,Original Description
01/05/2026,-62.40,Shopping,Checking,Corner Market,CORNER MARKET #12 POS PURCHASE
01/07/2026,-14.25,Restaurants,Checking,Cafe Downtown,CAFE DOWNTOWN 401 MAIN ST
01/10/2026,3200.00,Paychecks/Salary,Checking,Employer Direct Deposit,ACH CREDIT EMPLOYER PAYROLL
01/12/2026,-89.99,Bills & Utilities,Checking,City Power,CITY POWER BILL PAY
01/15/2026,-45.00,Transfer,Checking,Savings Transfer,ONLINE TRANSFER TO SAVINGS
01/18/2026,-28.50,Shopping,Checking,Corner Market,CORNER MARKET #12 POS PURCHASE
01/20/2026,-9.99,Subscriptions,Checking,Media Stream Co,MEDIA STREAM CO MONTHLY
01/22/2026,-55.00,Transportation,Checking,Fuel Stop,FUEL STOP #88 DEBIT
01/25/2026,-120.00,Healthcare,Checking,Family Clinic,FAMILY CLINIC COPAY
01/28/2026,-33.75,Restaurants,Checking,Cafe Downtown,CAFE DOWNTOWN 401 MAIN ST
